command,description
ipv6 mld query-interval,"To configure the frequency at which the switch sends Multicast Listener Discovery (MLD) host-query messages, use the ipv6 mld query-interval command in Interface Configuration mode. To return to the default frequency, use the no form of this command."
ipv6 mld query-max-response-time,"To configure the maximum response time advertised in Multicast Listener Discovery (MLD) queries, use the ipv6 mld query-max-response-time command in Interface Configuration mode. To restore the default value, use the no form of this command."
ipv6 mld robustness,"To configure the Multicast Listener Discovery (MLD) robustness variable, use the ipv6 mld robustness command in Interface Configuration mode. To restore the default value, use the no form of this command."
ipv6 mld version,"To configure which version of Multicast Listener Discovery Protocol (MLD) the router uses, use the ipv6 mld version command in Interface Configuration mode. To restore the default value, use the no form of this command."
show ipv6 mld counters,"To display the Multicast Listener Discovery (MLD) traffic counters, use the show ipv6 mld counters command in User EXEC mode."
show ipv6 mld groups,"To display the multicast groups that are directly connected to the router and that were learned through Multicast Listener Discovery (MLD), use the show ipv6 mld groups command in User EXEC mode."
show ipv6 mld groups summary,"To display the number of (*, G) and (S, G) membership reports present in the Multicast Listener Discovery (MLD) cache, use the show ipv6 mld groups summary command in User EXEC mode."
show ipv6 mld interface,"To display multicast-related information about an interface, use the show ipv6 mld interface command in User EXEC mode."
ipv6 mld-proxy ssm,"To define the Source Specific Multicast (SSM) range of IP Multicast addresses, use the ipv6 mld-proxy ssm command in Global Configuration mode. To disable the SSM range, use the no form of this command."
ipv6 mld-proxy,"To add downstream interfaces to a MLD proxy tree, use the ip mld-proxy command in Interface Configuration mode. To remove downstream from interfaces to a MLD proxy tree, use the no form of this command."
ipv6 mld-proxy downstream protected,"To disable forwarding of IPv6 Multicast traffic from downstream interfaces, use the ipv6 mld-proxy downstream protected command in Global Configuration mode. To allow forwarding from downstream interfaces, use the no form of this command."
ipv6 mld-proxy downstream protected interface,"To disable or enable forwarding of IPv6 Multicast traffic from a given downstream interface, use the ipv6 mld-proxy downstream protected interface command in Interface Configuration mode. To return to default, use the no form of this command."
show ipv6 mld-proxy interface,"To display information about interfaces configured for MLD Proxy, use the show ipv6 mld-proxy interface command in User EXEC mode or Privileged EXEC mode."
ipv6 mld snooping (Global),"To enable IPv6 Multicast Listener Discovery (MLD) snooping, use the ipv6 mld snooping command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 mld snooping vlan,"To enable MLD snooping on a specific VLAN, use the ipv6 mld snooping vlan command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 mld snooping querier,"To enable globally the MLD Snooping querier, use the ipv6 mld snooping querier command in Global Configuration mode. To disable the MLD Snooping querier globally, use the no form of this command."
ipv6 mld snooping vlan querier,"To enable the Internet MLD Snooping querier on a specific VLAN, use the ipv6 mld snooping vlan querier command in Global Configuration mode. To return to the default, use the no form of this command."
