command,syntax
clear storm-control counters,['clear storm-control counters [broadcast | multicast | unicast] [interface interface-id]']
rate-limit (Ethernet),"['rate-limit committed-rate-kbps [burst committed-burst-bytes]', 'no rate-limit']"
rate-limit vlan,"['rate-limit vlan vlan-id committed-rate committed-burst-bytes', 'no rate-limit vlan vlan-id']"
storm-control,"['storm-control broadcast {level level | kbps kbps} [trap] [shutdown]', 'no storm-control broadcast', 'storm-control multicast [registered | unregistered] {level level | kbps kbps} [trap] [shutdown]', 'no storm-control multicast', 'storm-control unicast {level level | kbps kbps} [trap] [shutdown]', 'no storm-control unicast', 'no storm-control']"
show rate-limit interface,['show rate-limit interface [interface-id]']
show rate-limit vlan,['show rate-limit vlan [vlan-id]']
show storm-control interface,['show storm-control interface [interface-id]']
clear rip statistics,['clear rip statistics']
default-information originate,"['default-information originate', 'no default-information originate']"
default-metric,"['default-metric [metric-value]', 'no default-metric']"
ip rip authentication key-chain,"['ip rip authentication key-chain name-of-chain', 'no ip rip authentication key-chain']"
ip rip authentication mode,"['ip rip authentication mode {text | md5}', 'no ip rip authentication mode']"
ip rip authentication-key,"['ip rip authentication-key password', 'no ip rip authentication-key']"
ip rip default-information originate,"['ip rip default-information originate {disable | metric}', 'no ip rip default-information originate']"
ip rip distribute-list in,"['ip rip distribute-list access access-list-name in', 'no ip rip distribute-list in']"
ip rip distribute-list out,"['ip rip distribute-list access access-list-name out', 'no ip rip distribute-list out']"
ip rip offset,"['ip rip offset offset', 'no ip rip offset']"
ip rip passive-interface,"['ip rip passive-interface', 'no ip rip passive-interface']"
ip rip distribute-list in,"['ip rip distribute-list access access-list-name in', 'no ip rip distribute-list in']"
ip rip distribute-list out,"['ip rip distribute-list access access-list-name out', 'no ip rip distribute-list out']"
ip rip offset,"['ip rip offset offset', 'no ip rip offset']"
ip rip passive-interface,"['ip rip passive-interface', 'no ip rip passive-interface']"
ip rip shutdown,"['ip rip shutdown', 'no ip rip shutdown']"
network,"['network ip-address [shutdown]', 'no network ip-address']"
passive-interface (RIP),"['passive-interface', 'no passive-interface']"
redistribute (RIP),"['redistribute protocol [metric {metric-value | transparent}]', 'no redistribute protocol']"
router rip,"['router rip', 'no router rip']"
show ip rip database,['show ip rip database [all | brief | ip-address]']
show ip rip peers,['show ip rip peers']
shutdown,"['shutdown', 'no shutdown']"
rmon alarm,"['rmon alarm index mib-object-id interval rising-threshold falling-threshold rising-event falling-event [type {absolute | delta}] [startup {rising | rising-falling | falling}] [owner name]', 'no rmon alarm index']"
show rmon alarm-table,['show rmon alarm-table']
show rmon alarm,['show rmon alarm number']
rmon event,"['rmon event index {none | log | trap | log-trap} [community text] [description text] [owner name]', 'no rmon event index']"
show rmon events,['show rmon events']
show rmon log,['show rmon log [event]']
rmon table-size,"['rmon table-size {history entries | log entries}', 'no rmon table-size {history | log}']"
show rmon statistics,['show rmon statistics {interface-id}']
rmon collection stats,"['rmon collection stats index [owner ownername] [buckets bucket-number] [interval seconds]', 'no rmon collection stats index']"
show rmon collection stats,['show rmon collection stats [interface-id]']
show rmon history,['show rmon history index {throughput | errors | other} [period seconds]']
show system resources,['show system resources']
set router hardware-routing active,['set router hardware-routing active']
show router hardware-routing status,['show router hardware-routing status']
system resources,"['system resources [policy-ip-routes max-number] [policy-ipv6-routes max-number] [vlan-mapping-entries max-number]', 'no system resources']"
match ip address (Policy Routing),"['match ip address access-list extended-access-list-name', 'no match ip address access-list']"
match ipv6 address (Policy Routing),"['match ipv6 address access-list extended-access-list-name', 'no match ipv6 address access-list']"
route-map (Policy Routing),"['route-map map-tag [sequence-number]', 'no route-map map-tag [sequence-number]']"
set ip next-hop,"['set ip next-hop next-hop', 'no set ip next-hop']"
set ipv6 next-hop,"['set ipv6 next-hop next-hop', 'no set ipv6 next-hop']"
show route-map,['show route-map [map-name]']
crypto key generate dsa,['crypto key generate dsa']
crypto key generate rsa,['crypto key generate rsa']
crypto key import,"['crypto key import {dsa| rsa}', 'encrypted crypto key import {dsa| rsa}', 'no crypto key {dsa| rsa}']"
show crypto key,['show crypto key [mypubkey] [dsa| rsa]']
crypto certificate generate,['crypto certificate number generate [key-generate [length] [cn common- name] [ou organization-unit] [or organization] [loc location] [st state] [cu country] [duration days]']
crypto certificate request,['crypto certificate number request [cn common- name] [ou organization-unit] [or organization] [loc location] [st state] [cu country]']
crypto certificate import,"['crypto certificate number import', 'encrypted crypto certificate number import', 'no crypto certificate number']"
show crypto certificate,['show crypto certificate [mycertificate] [number]']
macro auto (Global),"['macro auto {enabled | disabled | controlled}', 'no macro auto']"
macro auto built-in parameters,"['macro auto built-in parameters smartport-type [parameter-name value [parameter-name value [parameter-name value]', 'no macro auto built-in parameters smartport-type']"
macro auto persistent,"['macro auto persistent', 'no macro auto persistent']"
macro auto processing cdp,"['macro auto processing cdp', 'no macro auto processing cdp']"
macro auto processing lldp,"['macro auto processing lldp', 'no macro auto processing lldp']"
macro auto processing type,"['macro auto processing type smartport-type {enabled | disabled}', 'no macro auto processing type smartport-type']"
macro auto resume,['macro auto resume']
macro auto smartport (Interface),"['macro auto smartport', 'no macro auto smartport']"
macro auto smartport type,"['macro auto smartport type smartport-type [parameter-name value [parameter-name value [parameter-name value]', 'no macro auto smartport type']"
macro auto trunk refresh,['macro auto trunk refresh [smartport-type] [interface-id]']
macro auto user smartport macro,"['macro auto user smartport macro smartport-type user-defined-macro-name [parameter-name value [parameter-name value [parameter-name value]', 'no macro auto user smartport macro smartport-type']"
show macro auto ports,['show macro auto ports [interface-id | detailed]']
show macro auto processing,['show macro auto processing']
show macro auto smart-macros,['show macro auto smart-macros [smartport-type]']
smartport storm-control,"['smartport storm-control broadcast {level level | kbps kbps} [trap] [shutdown]', 'no smartport storm-control broadcast', 'smartport storm-control multicast [registred | unregistred] {level level | kbps kbps} [trap] [shutdown]', 'no smartport storm-control multicast', 'smartport storm-control unicast {level level | kbps kbps} [trap] [shutdown]', 'no smartport storm-control unicast', 'no smartport storm-control']"
sflow receiver,"['sflow receiver index {ipv4-address | ipv6-address | hostname} [port port] [max-datagram-size bytes]', 'no sflow receiver index']"
sflow flow-sampling,"['sflow flow-sampling rate receiver-index [max-header-size bytes]', 'no sflow flow-sampling']"
sflow counters-sampling,"['sflow counters-sampling interval receiver-index', 'no sflow counters-sampling']"
clear sflow statistics,['clear sflow statistics [interface-id]']
show sflow configuration,['show sflow configuration [interface-id]']
sflow receiver source-interface,"['sflow receiver source-interface interface-id', 'no sflow receiver source-interface']"
sflow receiver source-interface-ipv6,"['sflow receiver source-interface-ipv6 interface-id', 'no sflow receiver source-interface-ipv6']"
monitor session destination,"['monitor session session_number destination {interface interface-id [network]} | {remote vlan vlan-id reflector-port interface-id} network}', 'no monitor session session_number destination']"
monitor session source,"['monitor session session_number source {interface interface-id [both | rx | tx]} | {vlan vlan-id} | {remote vlan vlan-id}', 'no monitor session [session_number] source [{interface interface-id} | {vlan vlan-id} | {remote vlan vlan-id}]']"
remote-span,"['remote-span', 'no remote-span']"
show monitor session,['show monitor session [session_number]']
show vlan remote-span,['show vlan remote-span']
spanning-tree,"['spanning-tree', 'no spanning-tree']"
spanning-tree mode,"['spanning-tree mode {stp| rstp | mst | pvst | rapid-pvst}', 'no spanning-tree mode']"
spanning-tree forward-time,"['spanning-tree forward-time seconds', 'no spanning-tree forward-time']"
spanning-tree hello-time,"['spanning-tree hello-time seconds', 'no spanning-tree hello-time']"
spanning-tree max-age,"['spanning-tree max-age seconds', 'no spanning-tree max-age']"
spanning-tree priority,"['spanning-tree priority priority', 'no spanning-tree priority']"
spanning-tree disable,"['spanning-tree disable', 'no spanning-tree disable']"
spanning-tree cost,"['spanning-tree cost cost', 'no spanning-tree cost']"
spanning-tree port-priority,"['spanning-tree port-priority priority', 'no spanning-tree port-priority']"
spanning-tree portfast,"['spanning-tree portfast [auto]', 'no spanning-tree portfast']"
spanning-tree link-type,"['spanning-tree link-type {point-to-point | shared}', 'no spanning-tree spanning-tree link-type']"
spanning-tree pathcost method,"['spanning-tree pathcost method {long | short}', 'no spanning-tree pathcost method']"
spanning-tree bpdu (Global),"['spanning-tree bpdu {filtering | flooding}', 'no spanning-tree bpdu']"
spanning-tree bpdu (Interface),"['spanning-tree bpdu {filtering | flooding}', 'no spanning-tree bpdu']"
spanning-tree guard root,"['spanning-tree guard root', 'no spanning-tree guard root']"
spanning-tree bpduguard,"['spanning-tree bpduguard {enable | disable}', 'no spanning-tree bpduguard']"
clear spanning-tree counters,['clear spanning-tree counters [interface interface-id]']
clear spanning-tree detected-protocols,['clear spanning-tree detected-protocols [interface interface-id]']
spanning-tree mst priority,"['spanning-tree mst instance-id priority priority', 'no spanning-tree mst instance-id priority']"
spanning-tree mst max-hops,"['spanning-tree mst max-hops hop-count', 'no spanning-tree mst max-hops']"
spanning-tree mst port-priority,"['spanning-tree mst instance-id port-priority priority', 'no spanning-tree mst instance-id port-priority']"
spanning-tree mst cost,"['spanning-tree mst instance-id cost cost', 'no spanning-tree mst instance-id cost']"
spanning-tree mst configuration,['spanning-tree mst configuration']
instance (MST),"['instance instance-id vlan vlan-range', 'no instance instance-id vlan vlan-range']"
name (MST),"['name string', 'no name']"
revision (MST),"['revision value', 'no revision']"
show (MST),['show {current | pending}']
exit (MST),['exit']
abort (MST),['abort']
show spanning-tree,"['show spanning-tree [interface-id] [{instance instance-id} | {vlan vlan-id}]', 'show spanning-tree [detail] [active | blockedports] [{instance instance-id} | {vlan vlan-id}]', 'show spanning-tree inconsistentports', 'show spanning-tree mst-configuration', 'show spanning-tree mst-configuration digest']"
show spanning-tree bpdu,['show spanning-tree bpdu [interface-id | detailed]']
spanning-tree loopback-guard,"['spanning-tree loopback-guard', 'no spanning-tree loopback-guard']"
spanning-tree vlan forward-time,"['spanning-tree vlan vlan-range forward-time seconds', 'no spanning-tree vlan vlan-range forward-time']"
spanning-tree vlan hello-time,"['spanning-tree vlan vlan-range hello-time seconds', 'no spanning-tree vlan vlan-range hello-time']"
spanning-tree vlan max-age,"['spanning-tree vlan vlan-range max-age seconds', 'no spanning-tree vlan vlan-range max-age']"
spanning-tree vlan priority,"['spanning-tree vlan vlan-range priority priority', 'no spanning-tree vlan vlan-range priority']"
