command,syntax_products
port security,"[('port security [forward | discard | discard-shutdown] [trap seconds]', 'cbs_250, cbs_350, cat_1300'), ('no port security', 'cbs_250, cbs_350, cat_1300')]"
port security max,"[('port security max max-addr', 'cbs_250, cbs_350, cat_1300'), ('no port security max', 'cbs_250, cbs_350, cat_1300')]"
port security mode,"[('port security mode {max-addresses | lock | secure permanent | secure delete-on-reset}', 'cbs_250, cbs_350, cat_1300'), ('no port security mode', 'cbs_250, cbs_350, cat_1300')]"
port security routed secure-address,"[('port security routed secure-address mac-address', 'cbs_250, cbs_350, cat_1300'), ('no port security routed secure-address mac-address', 'cbs_250, cbs_350, cat_1300')]"
port-channel load-balance,"[('port-channel load-balance {src-dst-mac | src-dst-mac-ip}', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no port-channel load-balance', 'cbs_250, cbs_350, cat_1300')]"
power inline,"[('power inline auto [time-range NAME]', 'cbs_220'), ('power inline never', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('power inline auto [time-range time-range-name]', 'cbs_250, cbs_350, cat_1300')]"
power inline four-pair forced,"[('power inline four-pair forced', 'cbs_250, cbs_350, cat_1300'), ('no power inline four-pair forced', 'cbs_250, cbs_350, cat_1300')]"
power inline inrush test disable,"[('power inline inrush test disable', 'cbs_250, cbs_350, cat_1300'), ('no power inline inrush test disable', 'cbs_250, cbs_350, cat_1300')]"
power inline legacy enable,"[('power inline legacy enable', 'cbs_220'), ('no power inline legacy enable', 'cbs_220')]"
power inline legacy support disable,"[('power inline legacy support disable', 'cbs_250, cbs_350, cat_1300'), ('no power inline legacy support disable', 'cbs_250, cbs_350, cat_1300')]"
power inline limit,"[('power inline limit power', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no power inline limit', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
power inline limit-mode,"[('power inline limit-mode {class | port}', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no power inline limit-mode', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
power inline negotiation,"[('power inline negotiation {none | all}', 'cbs_250, cbs_350, cat_1300'), ('no power inline negotiation', 'cbs_250, cbs_350, cat_1300')]"
power inline powered-device,"[('power inline powered-device pd-type', 'cbs_250, cbs_350, cat_1300'), ('no power inline powered-device', 'cbs_250, cbs_350, cat_1300')]"
power inline priority,"[('power inline priority {critical | high | low}', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no power inline priority', 'cbs_250, cbs_350, cat_1300')]"
power inline traps enable,"[('power inline traps enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no power inline traps enable', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
power inline usage-threshold,"[('power inline usage-threshold percent', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no power inline usage-threshold', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
preference,"[('preference {[maximum {value | disable}] [minimum {value | disable}]}', 'cbs_350, cat_1300'), ('no preference [maximum] [minimum]', 'cbs_350, cat_1300')]"
priority-queue out num-of-queues,"[('priority-queue out num-of-queues number-of-queues', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no priority-queue out num-of-queues', 'cbs_250, cbs_350, cat_1300')]"
private-vlan,"[('private-vlan {primary | community | isolated}', 'cbs_250, cbs_350, cat_1300'), ('no private-vlan', 'cbs_250, cbs_350, cat_1300')]"
private-vlan association,"[('private-vlan association [add | remove] secondary-vlan-list', 'cbs_250, cbs_350, cat_1300'), ('no private-vlan association', 'cbs_250, cbs_350, cat_1300')]"
privilege-level,"[('privilege-level level', 'cbs_250, cbs_350, cat_1300'), ('no privilege-level', 'cbs_250, cbs_350, cat_1300')]"
profile range,"[('profile range ip ip-range action {permit | deny}', 'cbs_220'), ('profile range ipv6 ipv6-range action {deny | permit}', 'cbs_220')]"
qos,"[('qos [basic | advanced [ports-not-trusted | ports-trusted]', 'cbs_220'), ('no qos', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('qos [basic | {advanced [ports-not-trusted | ports-trusted]}]', 'cbs_250, cbs_350, cat_1300')]"
qos advanced-mode trust,"[('qos advanced-mode trust {cos | cos-dscp | dscp | ip-precedence}', 'cbs_220'), ('no qos advanced-mode trust', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('qos advanced-mode trust {cos | dscp | cos-dscp}', 'cbs_250, cbs_350, cat_1300')]"
qos aggregate-policer,"[('qos aggregate-policer name committed-rate-kbps [exceed-action {drop | forward}]', 'cbs_220'), ('no qos aggregate-policer name', 'cbs_220'), ('qos aggregate-policer aggregate-policer-name committed-rate-kbps committed-burst-byte [exceed-action action] [peak peak-rate-kbps peak-burst-byte [violate-action action]', 'cbs_250, cbs_350, cat_1300'), ('no qos aggregate-policer aggregate-policer-name', 'cbs_250, cbs_350, cat_1300')]"
qos cos,"[('qos cos default-cos', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no qos cos', 'cbs_250, cbs_350, cat_1300')]"
qos dscp-mutation,"[('qos dscp-mutation', 'cbs_250, cbs_350, cat_1300'), ('no qos dscp-mutation', 'cbs_250, cbs_350, cat_1300')]"
qos map dscp-queue,"[('qos map dscp-queue dscp-list to queue-id', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no qos map dscp-queue [dscp-list]', 'cbs_250, cbs_350, cat_1300')]"
qos map policed-dscp,"[('qos map policed-dscp [violation] dscp-list to dscp-mark-down', 'cbs_250, cbs_350, cat_1300'), ('no qos map policed-dscp [violation] [dscp-list]', 'cbs_250, cbs_350, cat_1300')]"
qos remark,"[('qos remark {cos | dscp | ip-precedence}', 'cbs_220'), ('no qos remark {cos | dscp | ip-precedence}', 'cbs_220')]"
qos statistics aggregate-policer,"[('qos statistics aggregate-policer aggregate-policer-name', 'cbs_250, cbs_350, cat_1300'), ('no qos statistics aggregate-policer aggregate-policer-name', 'cbs_250, cbs_350, cat_1300')]"
qos statistics policer,"[('qos statistics policer policy-map-name class-map-name', 'cbs_250, cbs_350, cat_1300'), ('no qos statistics policer policy-map-name class-map-name', 'cbs_250, cbs_350, cat_1300')]"
qos trust (Global),"[('qos trust {cos | cos-dscp | dscp | ip-precedence}', 'cbs_220'), ('no qos trust', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('qos trust {cos | dscp| cos-dscp}', 'cbs_250, cbs_350, cat_1300')]"
qos trust (Interface),"[('qos trust', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no qos trust', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
qos wrr-queue wrtd,"[('qos wrr-queue wrtd', 'cbs_250, cbs_350, cat_1300'), ('no qos wrr-queue wrtd', 'cbs_250, cbs_350, cat_1300')]"
radius server accounting-port,"[('radius server accounting-port udp-port', 'cbs_250, cbs_350, cat_1300'), ('no radius server accounting-port', 'cbs_250, cbs_350, cat_1300')]"
radius server authentication-port,"[('radius server authentication-port udp-port', 'cbs_250, cbs_350, cat_1300'), ('no radius server authentication-port', 'cbs_250, cbs_350, cat_1300')]"
radius server enable,"[('radius server enable', 'cbs_250, cbs_350, cat_1300'), ('no radius server enable', 'cbs_250, cbs_350, cat_1300')]"
radius server group,"[('radius server group group-name', 'cbs_250, cbs_350, cat_1300'), ('no radius server group [group-name]', 'cbs_250, cbs_350, cat_1300')]"
radius server nas secret,"[('radius server nas secret key key {default | ip-address}', 'cbs_250, cbs_350, cat_1300'), ('radius server nas secret ip-address', 'cbs_250, cbs_350, cat_1300'), ('encrypted radius server nas secret key encrypted-key {default | ip-address}', 'cbs_250, cbs_350, cat_1300'), ('no radius server nas secret [default | ip-address]', 'cbs_250, cbs_350, cat_1300')]"
radius server traps accounting,"[('radius server traps accounting', 'cbs_250, cbs_350, cat_1300'), ('no radius server traps accounting', 'cbs_250, cbs_350, cat_1300')]"
radius server traps authentication success,"[('radius server traps authentication success', 'cbs_250, cbs_350, cat_1300'), ('no radius server traps authentication success', 'cbs_250, cbs_350, cat_1300')]"
radius server user,"[('radius server user username user-name group group-name password unencrypted-password', 'cbs_250, cbs_350, cat_1300'), ('no radius server user [username user-name | group group-name]', 'cbs_250, cbs_350, cat_1300'), ('encrypted radius server user username user-name group group-name passwordencrypted-password', 'cat_1300')]"
radius-server deadtime,"[('radius-server deadtime deadtime', 'cbs_350, cat_1300'), ('no radius-server deadtime', 'cbs_350, cat_1300')]"
radius-server default-param,"[('radius-server default-param [key RADIUSKEY] [retransmit retries] [timeout timeout]', 'cbs_220'), ('no radius-server default-param', 'cbs_220')]"
radius-server host,"[('radius-server host {ip-address | hostname} [acct-port acct-port-number] [auth-port auth-port-number] [key key-string] [priority priority] [retransmit retries] [timeout timeout] [usg-type {802.1x | all | login}]', 'cbs_220'), ('no radius-server host hostname', 'cbs_220'), ('radius-server host {ip-address | hostname} [auth-port auth-port-number] [acct-port acct-port-number] [timeout timeout] [retransmit retries] [deadtime deadtime] [key key-string] [priority priority] [usage {login | dot1.x | all}]', 'cbs_350, cat_1300'), ('encrypted radius-server host {ip-address | hostname} [auth-port auth-port-number] [acct-port acct-port-number] [timeout timeout] [retransmit retries] [deadtime deadtime] [key encrypted-key-string] [priority priority] [usage {login | dot1.x | all}]', 'cbs_350, cat_1300'), ('no radius-server host {ip-address | hostname}', 'cbs_350, cat_1300')]"
radius-server host source-interface,"[('radius-server host source-interface interface-id', 'cbs_350, cat_1300'), ('no radius-server host source-interface', 'cbs_350, cat_1300')]"
radius-server host source-interface-ipv6,"[('radius-server host source-interface-ipv6 interface-id', 'cbs_350, cat_1300'), ('no radius-server host source-interface-ipv6', 'cbs_350, cat_1300')]"
radius-server key,"[('radius-server key [key-string]', 'cbs_350, cat_1300'), ('encrypted radius-server key [encrypted-key-string]', 'cbs_350, cat_1300'), ('no radius-server key', 'cbs_350, cat_1300')]"
radius-server retransmit,"[('radius-server retransmit retries', 'cbs_350, cat_1300'), ('no radius-server retransmit', 'cbs_350, cat_1300')]"
radius-server timeout,"[('radius-server timeout timeout-seconds', 'cbs_350, cat_1300'), ('no radius-server timeout', 'cbs_350, cat_1300')]"
rate-limit (Ethernet),"[('rate-limit committed-rate-kbps [burst committed-burst-bytes]', 'cbs_250, cbs_350, cat_1300'), ('no rate-limit', 'cbs_250, cbs_350, cat_1300')]"
rate-limit (Interface),"[('rate-limit committed-rate-kbps', 'cbs_220'), ('no rate-limit', 'cbs_220')]"
rate-limit (VLAN),"[('rate-limit committed-rate vlan vlan-id', 'cbs_220'), ('no rate-limit vlan vlan-id', 'cbs_220')]"
rate-limit vlan,"[('rate-limit vlan vlan-id committed-rate committed-burst-bytes', 'cbs_250, cbs_350, cat_1300'), ('no rate-limit vlan vlan-id', 'cbs_250, cbs_350, cat_1300')]"
redirect,"[('redirect interface-id', 'cbs_250, cbs_350, cat_1300'), ('no redirect', 'cbs_250, cbs_350, cat_1300')]"
redistribute (RIP),"[('redistribute protocol [metric {metric-value | transparent}]', 'cbs_350, cat_1300'), ('no redistribute protocol', 'cbs_350, cat_1300')]"
reload,"[('reload', 'cbs_220'), ('reload [in [hhh:mm | mmm] | at hh:mm [day month] | cancel]', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('reload cancel', 'cbs_250, cbs_350, cat_1300')]"
remote-span,"[('remote-span', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no remote-span', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
revision (MST),"[('revision value', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no revision', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
rmon alarm,"[('rmon alarm index interface interface-id {variableinterval {absolute | delta} rising rising-threshold rising-event falling falling-threshold falling-event startup {rising | rising-falling | falling} [owner NAME]', 'cbs_220'), ('no rmon alarm index', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('rmon alarm index mib-object-id interval rising-threshold falling-threshold rising-event falling-event [type {absolute | delta}] [startup {rising | rising-falling | falling}] [owner name]', 'cbs_250, cbs_350, cat_1300')]"
rmon collection stats,"[('rmon collection stats index [owner ownername] [buckets bucket-number] [interval seconds]', 'cbs_250, cbs_350, cat_1300'), ('no rmon collection stats index', 'cbs_250, cbs_350, cat_1300')]"
rmon event,"[('rmon event index {log | trap COMMUNITY | log trap COMMUNITY} [description DESCRIPTION] [owner NAME]', 'cbs_220'), ('no rmon event index', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('rmon event index {none | log | trap | log-trap} [community text] [description text] [owner name]', 'cbs_250, cbs_350, cat_1300')]"
rmon history,"[('rmon history index interface interface-id [buckets bucket-number] [interval seconds | owner NAME]', 'cbs_220'), ('no rmon history index', 'cbs_220')]"
rmon table-size,"[('rmon table-size {history entries | log entries}', 'cbs_250, cbs_350, cat_1300'), ('no rmon table-size {history | log}', 'cbs_250, cbs_350, cat_1300')]"
route-map (Policy Routing),"[('route-map map-tag [sequence-number]', 'cbs_350, cat_1300'), ('no route-map map-tag [sequence-number]', 'cbs_350, cat_1300')]"
router rip,"[('router rip', 'cbs_350, cat_1300'), ('no router rip', 'cbs_350, cat_1300')]"
router-preference,"[('router-preference [maximum {value | disable}] [minimum {value | disable}]', 'cbs_350, cat_1300'), ('no router-preference [maximum] [minimum]', 'cbs_350, cat_1300')]"
sec-level minimum,"[('sec-level minimum value | disable', 'cbs_350, cat_1300'), ('no sec-level minimum', 'cbs_350, cat_1300')]"
security-suite deny fragmented,"[('security-suite deny fragmented {[add {ip-address | any} {mask | /prefix-length}] | [remove {ip-address | any} {mask | /prefix-length}]}', 'cbs_250, cbs_350, cat_1300'), ('no security-suite deny fragmented', 'cbs_250, cbs_350, cat_1300')]"
security-suite deny icmp,"[('security-suite deny icmp {[add {ip-address | any} {mask | /prefix-length}] | [remove {ip-address | any} {mask | /prefix-length}]}', 'cbs_250, cbs_350, cat_1300'), ('no security-suite deny icmp', 'cbs_250, cbs_350, cat_1300')]"
security-suite deny martian-addresses,"[('security-suite deny martian-addresses {add {ip-address {mask | /prefix-length} | remove {ip-address {mask | /prefix-length} (Add/remove user-specified IP addresses)', 'cbs_250, cbs_350, cat_1300'), ('security-suite deny martian-addresses reserved {add | remove} (Add/remove system-reserved IP addresses, see tables below)', 'cbs_250, cbs_350, cat_1300'), ('no security-suite deny martian-addresses (This command removes addresses reserved by security-suite deny martian-addresses {add {ip-address {mask | /prefix-length} | remove {ip-address {mask | /prefix-length}, and removes all entries added by the user. The user can remove a specific entry by using remove ip-address {mask | /prefix-length} parameter.', 'cbs_250, cbs_350, cat_1300'), ('There is no no form of the security-suite deny martian-addresses reserved {add | remove} command. Use instead the security-suite deny martian-addresses reserved remove command to remove protection (and free up hardware resources).', 'cbs_250, cbs_350, cat_1300')]"
security-suite deny syn,"[('security-suite deny syn {[add {tcp-port | any} {ip-address | any} {mask | /prefix-length}] | [remove {tcp-port | any} {ip-address | any} {mask | /prefix-length}]}', 'cbs_250, cbs_350, cat_1300'), ('no security-suite deny syn', 'cbs_250, cbs_350, cat_1300')]"
security-suite deny syn-fin,"[('security-suite deny syn-fin', 'cbs_250, cbs_350, cat_1300'), ('no security-suite deny syn-fin', 'cbs_250, cbs_350, cat_1300')]"
